ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|ef4016bf654645b2b1d3f9b08294280b|2024-05-07|05:00:01|1715072401|misc_net|50.84|0|fraud_Kerluke, Considine and Macejkovic|29.963509|-97.143717
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|68c235f398da96ae90a461f58878cecd|2024-03-08|11:10:45|1709914245|gas_transport|54.26|0|fraud_Parisian and Sons|28.886286|-96.070129
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|560abd1a448395101357a24e749b0950|2024-05-17|04:58:37|1715936317|misc_net|57.38|0|fraud_Donnelly PLC|29.578186|-96.058764
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|8a39bd799a0d6661aa5d52354024d465|2024-03-03|09:04:47|1709474687|gas_transport|81.39|0|fraud_Schmitt Inc|29.731498|-96.798333
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|e1e9d80be08e46a7b9d4ebe52dc6a775|2024-03-31|10:18:49|1711894729|grocery_pos|95.61|0|fraud_Kunze Inc|29.252032|-96.980521
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|8bff4db8b5fbcb6f8648838eecb0293b|2024-02-10|06:13:50|1707563630|gas_transport|59.59|0|fraud_Streich, Hansen and Veum|30.518977|-95.850268
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|a33e991d2d842a19cf38b6788108b083|2024-03-09|06:02:17|1709982137|gas_transport|71.44|0|fraud_Streich, Hansen and Veum|29.248702|-96.734321
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|35bf659c44bed0b4f86badffb333383d|2024-03-19|06:28:31|1710844111|grocery_net|62.52|0|fraud_Funk Group|30.221866|-97.275901
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|74f3c6d552d0ac950c79dd772535e9d4|2024-03-03|10:11:24|1709478684|gas_transport|46.42|0|fraud_Prohaska-Murray|29.145498|-95.712422
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|1f9cced4a9eaa2018eb507dbee6466a1|2024-04-23|00:24:11|1713846251|grocery_pos|43.19|0|fraud_Rutherford-Mertz|29.486238|-97.195689
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|0f0499a0ff3d3c614bc8065883434679|2024-05-07|03:33:42|1715067222|misc_net|60.77|0|fraud_Greenfelder, Bartoletti and Davis|29.080238|-96.385650
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|9b8d94851ef7ee9ab28c65339ebe557e|2024-03-29|11:42:32|1711726952|grocery_pos|76.69|0|fraud_Mosciski, Gislason and Mertz|29.665272|-97.250397
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|6f8be6b42e5713635ad1f3cad2f13293|2024-03-26|04:32:10|1711441930|grocery_net|67.36|0|fraud_Hills-Olson|30.184168|-97.038985
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|0f21e45472a2b6ea71932fc708cf024a|2024-03-25|11:36:58|1711381018|grocery_net|75.51|0|fraud_Bernier, Streich and Jewess|29.189293|-95.410087
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|353e0d8bfc5a8eb7e0df291bc312db88|2024-04-30|11:25:11|1714490711|grocery_pos|78.33|0|fraud_Auer-Mosciski|29.575088|-96.492718
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|61845cb1e4a05fc84e96b5145ef07395|2024-01-20|00:39:27|1705729167|gas_transport|54.72|0|fraud_Sporer Inc|30.275967|-95.677330
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|6c465ee4e59d85c55f97855751ebb00e|2024-01-13|05:01:58|1705140118|gas_transport|73.38|0|fraud_Bernhard Inc|30.121270|-97.263303
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|f109fc5d23d641604f0a7913b2138e72|2024-03-15|09:42:14|1710510134|grocery_net|38.60|0|fraud_Kohler, Lindgren and Koelpin|30.416813|-96.865276
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|828f1ec99cba26de8045b54062496fa9|2024-03-09|09:04:42|1709993082|gas_transport|61.95|0|fraud_Kutch LLC|29.837602|-95.981917
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|e1e3837012a1566a71add11c844f4d70|2024-03-30|06:14:26|1711793666|grocery_pos|54.37|0|fraud_Heidenreich PLC|30.016612|-95.448962
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|a1ae31075bc304aaa2374d43c4705596|2024-02-19|11:47:24|1708361244|gas_transport|45.54|0|fraud_Emard Inc|29.453573|-97.334426
008-96-0530|4876164819807709|Eileen|Ross|F|6876 Dale Vista|Cat Spring|TX|78933|29.7512|-96.39|1433|Garment/textile technologist|1989-07-26|909493428775|adults_2550_female_rural.json|1310adbe3b243e6a5d9778558b2cd0f4|2024-01-21|04:45:54|1705830354|gas_transport|87.42|0|fraud_Schaefer, McGlynn and Bosco|29.331140|-97.020595
