ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|e13b3115643450616c5efaf0a71535ed|2024-02-10|05:54:31|1707562471|grocery_pos|312.23|1|fraud_Doyle Ltd|29.568456|-97.836040
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|ad78c6fb10caaa0192ccde0aa8b24ca8|2024-02-10|00:52:49|1707544369|grocery_pos|309.38|1|fraud_Schoen, Kuphal and Nitzsche|29.789210|-98.450848
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|7810c86ee899935011644c25cfb2e8ed|2024-02-10|11:20:05|1707582005|grocery_pos|320.13|1|fraud_Cartwright-Harris|29.557019|-97.922215
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|914a34e1989c18e3dd72fac485a8f234|2024-02-10|19:15:35|1707610535|grocery_pos|314.08|1|fraud_McDermott-Weimann|28.020439|-98.965091
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|8f5cc71c2b65a2c8b85e51e5ab609e62|2024-02-11|23:28:20|1707712100|shopping_net|796.60|1|fraud_Kuhic, Bins and Pfeffer|29.044746|-97.478409
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|4d59f0236f3cfde07ac430778f8eb868|2024-02-11|23:04:53|1707710693|kids_pets|1104.63|1|fraud_Goyette-Gerhold|28.945701|-98.787838
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|4ce48930f11dbfcfa47e4f96551b8556|2024-02-11|21:23:50|1707704630|shopping_net|1082.32|1|fraud_Kuhic, Bins and Pfeffer|29.216271|-97.471214
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|deb8415c284f5d4b40d4bf78cf1192ce|2024-02-11|22:54:12|1707710052|shopping_net|1114.48|1|fraud_Reichert, Huels and Hoppe|29.163935|-98.803441
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|bbe071eabcc8d46e1b9bad47ba8e6007|2024-02-10|23:56:32|1707627392|misc_net|21.65|1|fraud_Corwin-Gorczany|28.080588|-97.834979
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|f2d6420d39c597c42e39a9b4a13d7e1d|2024-06-05|07:03:23|1717585403|shopping_net|67.93|0|fraud_Auer-West|29.265616|-98.163765
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|525841040b9c86647e70dd11a550193f|2024-03-02|00:34:09|1709357649|grocery_pos|62.46|0|fraud_Miller-Hauck|29.415569|-98.152205
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|3fc3d0d92f7e0de59f7589dcdd221bbb|2024-03-20|11:59:12|1710950352|grocery_pos|72.64|0|fraud_Kutch and Sons|29.207491|-98.650020
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|a41324f38a52f30549cb6a6014843d18|2024-05-30|09:20:12|1717075212|shopping_net|74.23|0|fraud_Heathcote LLC|29.764718|-98.419292
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|4355fe921593ba432f9e6ff38f20d987|2024-06-25|06:19:38|1719310778|shopping_pos|74.07|0|fraud_Macejkovic-Lesch|28.046424|-98.875162
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|475917f9af4d164ee1c152cc182c65e0|2024-05-03|00:03:49|1714709029|misc_pos|76.11|0|fraud_Dickinson Ltd|29.832888|-97.115015
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|2f5ce6d89e1e4e243600263c5912c7a7|2024-03-17|06:53:17|1710672797|grocery_pos|63.97|0|fraud_Kunze Inc|28.938777|-98.665546
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|359ca4a56017c4e295d4eb626af592b9|2024-01-29|11:39:54|1706546394|grocery_net|62.45|0|fraud_Heller-Abshire|28.847934|-97.056516
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|eeced7a7c10c2920fd7a9f902a812c0d|2024-04-29|08:52:59|1714395179|misc_pos|73.51|0|fraud_Turcotte-Halvorson|28.292213|-98.832800
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|407889fe2850a4f12fb4fe9c7f406dc7|2024-01-05|05:07:54|1704449274|gas_transport|72.19|0|fraud_Mraz-Herzog|28.016389|-97.856970
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|6a538db3a6bfb505b51e16b5d8391e5b|2024-05-10|01:58:20|1715320700|misc_pos|63.91|0|fraud_Thiel PLC|29.169092|-97.022688
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|1cd0f8386ac0b24a3fbf57a8211bd859|2024-02-01|04:52:13|1706781133|grocery_net|68.76|0|fraud_Shields Inc|28.639387|-97.813858
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|13f01e02be1ee616b9200f532beac4c2|2024-05-27|09:50:01|1716817801|shopping_net|65.22|0|fraud_Kozey-Boehm|28.960643|-98.291577
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|d5b6926303d3d6577de3731742a3d68e|2024-06-01|01:27:36|1717219656|shopping_net|67.58|0|fraud_Heathcote LLC|28.287185|-97.430371
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|957e1d1842d5fead5af2c5df1fa339d5|2024-03-03|03:33:34|1709454814|grocery_pos|75.10|0|fraud_Vandervort-Funk|28.790284|-98.802041
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|39d40513f603c27ade3fa53e497125ca|2024-02-06|09:46:08|1707230768|grocery_net|66.48|0|fraud_Swaniawski, Bahringer and Ledner|29.950228|-97.816513
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|3a1389920fe00c8c6c8a02a03771ed7b|2024-07-04|06:51:17|1720090277|shopping_pos|74.41|0|fraud_Bahringer, Schoen and Corkery|28.765010|-97.802990
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|eb1ed65dfa53770d51fbcab71af7ecfe|2024-02-29|00:22:08|1709184128|grocery_pos|66.82|0|fraud_Schumm, Bauch and Ondricka|28.850835|-97.083419
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|661cb96a47ffd89dea11d623cccd6ad2|2024-05-11|00:45:50|1715402750|misc_pos|69.28|0|fraud_Williamson LLC|28.643580|-98.446785
880-97-4579|30189137189499|Anthony|Cooper|M|7879 Fisher Union|Falls City|TX|78113|28.9814|-98.0156|2435|Hospital pharmacist|1979-09-01|181630767240|adults_2550_male_rural.json|50128b7506b5716eed369bcc11dd496f|2024-03-23|08:29:27|1711196967|grocery_pos|70.75|0|fraud_Murray-Smitham|29.117019|-97.046369
