ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
807-88-1327|3508501657905525|Maria|Bush|F|53817 Karen Trace|Ruthven|IA|51358|43.1448|-94.8842|1310|Equality and diversity officer|1959-04-12|387923438251|adults_50up_female_rural.json|79fc4fa0f0cd9659311b2d49cfe4a4fc|2024-05-09|04:16:17|1715242577|grocery_pos|18.59|1|fraud_Casper, Hand and Zulauf|43.788695|-95.641071
807-88-1327|3508501657905525|Maria|Bush|F|53817 Karen Trace|Ruthven|IA|51358|43.1448|-94.8842|1310|Equality and diversity officer|1959-04-12|387923438251|adults_50up_female_rural.json|49b27f2afa61b46b0b32f7788e36b153|2024-05-09|03:31:56|1715239916|gas_transport|20.33|1|fraud_Lind, Huel and McClure|42.913613|-94.608050
807-88-1327|3508501657905525|Maria|Bush|F|53817 Karen Trace|Ruthven|IA|51358|43.1448|-94.8842|1310|Equality and diversity officer|1959-04-12|387923438251|adults_50up_female_rural.json|31be259a3847db1be7fcfd13fd25d8ae|2024-05-09|03:41:44|1715240504|grocery_pos|345.30|1|fraud_Auer-Mosciski|43.399557|-94.448632
807-88-1327|3508501657905525|Maria|Bush|F|53817 Karen Trace|Ruthven|IA|51358|43.1448|-94.8842|1310|Equality and diversity officer|1959-04-12|387923438251|adults_50up_female_rural.json|51d314e70aaf8232a2bca4890521b2bc|2024-05-09|01:57:35|1715234255|grocery_pos|353.90|1|fraud_Kiehn-Emmerich|43.801740|-95.573119
807-88-1327|3508501657905525|Maria|Bush|F|53817 Karen Trace|Ruthven|IA|51358|43.1448|-94.8842|1310|Equality and diversity officer|1959-04-12|387923438251|adults_50up_female_rural.json|6036ba37cc66f5d9490889b44497a50b|2024-05-09|00:23:37|1715228617|gas_transport|307.13|1|fraud_Berge LLC|42.971720|-94.355046
807-88-1327|3508501657905525|Maria|Bush|F|53817 Karen Trace|Ruthven|IA|51358|43.1448|-94.8842|1310|Equality and diversity officer|1959-04-12|387923438251|adults_50up_female_rural.json|2217beb10332d4b5f35422a828579fb2|2024-05-10|23:52:40|1715399560|misc_pos|312.51|1|fraud_Terry, Johns and Bins|43.525356|-95.011476
807-88-1327|3508501657905525|Maria|Bush|F|53817 Karen Trace|Ruthven|IA|51358|43.1448|-94.8842|1310|Equality and diversity officer|1959-04-12|387923438251|adults_50up_female_rural.json|b2ba8e139f98faafb95490c667bab661|2024-05-10|22:37:38|1715395058|shopping_net|797.49|1|fraud_Baumbach, Feeney and Morar|42.622272|-94.870714
807-88-1327|3508501657905525|Maria|Bush|F|53817 Karen Trace|Ruthven|IA|51358|43.1448|-94.8842|1310|Equality and diversity officer|1959-04-12|387923438251|adults_50up_female_rural.json|986ea1820e9cf8c61f7c0436e78006f3|2024-05-09|22:11:55|1715307115|grocery_pos|655.28|1|fraud_Schumm, Bauch and Ondricka|42.778528|-94.632848
807-88-1327|3508501657905525|Maria|Bush|F|53817 Karen Trace|Ruthven|IA|51358|43.1448|-94.8842|1310|Equality and diversity officer|1959-04-12|387923438251|adults_50up_female_rural.json|b1a7575105893f184178c456a560aa78|2024-05-10|23:27:41|1715398061|shopping_net|50.24|1|fraud_Heathcote LLC|43.326910|-95.056546
807-88-1327|3508501657905525|Maria|Bush|F|53817 Karen Trace|Ruthven|IA|51358|43.1448|-94.8842|1310|Equality and diversity officer|1959-04-12|387923438251|adults_50up_female_rural.json|fedd94fa7d5a3ae324e96b2b0988698c|2024-05-10|23:12:12|1715397132|shopping_pos|880.77|1|fraud_Pacocha-Bauch|43.069683|-95.336370
807-88-1327|3508501657905525|Maria|Bush|F|53817 Karen Trace|Ruthven|IA|51358|43.1448|-94.8842|1310|Equality and diversity officer|1959-04-12|387923438251|adults_50up_female_rural.json|741671757f8c6d4c75864998dad57dbf|2024-05-10|17:38:36|1715377116|shopping_net|968.83|1|fraud_Boyer PLC|43.818002|-95.589516
