ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
026-95-4507|4218196001337|Kathy|Johnson|F|863 Lawrence Valleys|Ontario|NY|14519|43.2291|-77.3088|11581|Accounting technician|2007-04-27|888022315787|young_adults_female_urban.json
433-44-4553|4511615594078163|Blake|Carter|M|310 Kendra Common Apt. 164|Council Bluffs|IA|51503|41.2616|-95.8251|71782|Professor Emeritus|1973-01-28|917558277935|adults_50up_male_urban.json
380-46-3433|4192832764835035|Samantha|Trujillo|F|1395 Diana Locks Suite 242|Indian Orchard|MA|01151|42.1532|-72.505|8698|Fine artist|1977-04-24|617380026649|adults_2550_female_urban.json
765-75-7020|3553287101226916|Janice|Carlson|F|480 Erin Plain Suite 514|Clermont|FL|34711|28.5525|-81.7574|81987|Presenter, broadcasting|1975-10-04|498895488714|adults_2550_female_urban.json
740-93-4316|213181489325283|Troy|Nielsen|M|570 Sarah Wells|Brownsville|TX|78521|25.9221|-97.4612|195686|Information systems manager|2003-01-31|61157982007|young_adults_male_urban.json
581-11-1404|3518227824896383|Pedro|Vaughn|M|5787 John Circles Suite 098|Boynton Beach|FL|33436|26.5354|-80.1124|155385|Event organiser|2006-02-23|243045499634|young_adults_male_urban.json
725-81-0965|4051834738295|Kenneth|Sanchez|M|3116 Henderson Mountain Apt. 106|Covington|LA|70433|30.4876|-90.0959|47736|Librarian, academic|1941-03-08|948331323761|adults_50up_male_urban.json
197-25-8787|30262473178101|Matthew|Fernandez|M|32677 Michelle Circle|Phoenix|AZ|85042|33.3794|-112.0283|1312922|Development worker, international aid|1962-10-15|1627677155|adults_50up_male_urban.json
272-59-4674|6523430980500973|Kathryn|Farrell|F|81219 Emma Freeway|Statesboro|GA|30458|32.4408|-81.774|54956|Operations geologist|1953-02-24|626594012825|adults_50up_female_urban.json
609-06-1344|6543534624751078|Marc|Hart|M|83842 Ibarra Gardens|Cuyahoga Falls|OH|44223|41.1464|-81.5107|47772|Merchant navy officer|1984-04-14|173022703378|adults_2550_male_urban.json
557-91-4957|3584124118244934|Mitchell|Harris|M|740 Cynthia Village Suite 005|Marlborough|CT|06447|41.6412|-72.4609|6404|Conservator, furniture|1945-03-09|177218748445|adults_50up_male_urban.json
565-91-7008|213111280598267|Cameron|Parker|M|3315 Dickson Summit|Mauldin|SC|29662|34.7807|-82.3035|15090|Designer, fashion/clothing|1977-12-03|950204551500|adults_2550_male_urban.json
820-23-6756|503856342160|Shane|Garrison|M|75433 Donna Locks|Sterling|IL|61081|41.8055|-89.7054|21934|Land/geomatics surveyor|1992-02-24|950384363434|adults_2550_male_urban.json
792-36-5754|4850142940196556|Jeffrey|Joyce|M|9340 Smith Valley|Eagle Pass|TX|78852|28.7028|-100.4818|53040|Solicitor|1981-10-09|793224011429|adults_2550_male_urban.json
755-86-3229|371595148465644|Julian|Lee|M|299 Sullivan Village Apt. 443|Los Angeles|CA|90061|33.9245|-118.2716|2383912|Planning and development surveyor|1981-01-01|639029968283|adults_2550_male_urban.json
330-60-7239|30387214895133|Megan|Walker|F|00379 Stanley Roads|Bellingham|WA|98225|48.749|-122.4887|117728|Teaching laboratory technician|1968-06-27|786814108140|adults_50up_female_urban.json
507-52-3998|4163287083172781|William|Larson|M|868 Merritt Summit Suite 743|San Jose|CA|95130|37.2886|-121.9818|973849|Health and safety inspector|1967-10-10|857987636625|adults_50up_male_urban.json
642-31-4500|30143455812232|Janet|Hernandez|F|66587 Brown Village|Sacramento|CA|95827|38.5662|-121.3286|757530|Petroleum engineer|1998-04-22|993810235531|adults_2550_female_urban.json
713-03-9433|6505466889373460|John|Price|M|272 Rebecca Ramp Apt. 162|Windsor|MO|65360|38.5272|-93.5269|4752|Psychologist, clinical|1983-08-26|52320127777|adults_2550_male_urban.json
336-28-7450|376464170805315|Rachael|Pearson|F|30923 Thomas Crescent|Atlanta|GA|30328|33.9335|-84.3958|900273|Surveyor, rural practice|1971-08-22|240293786713|adults_50up_female_urban.json
263-99-6044|4241904966319315|Melissa|Turner|F|058 Stanley Cliff|Decatur|AL|35603|34.5484|-87.0004|64979|Risk manager|1956-11-14|376443331852|adults_50up_female_urban.json
431-63-1730|6572628498776940|Frank|Sanchez|M|7379 Rogers Park|Rossville|GA|30741|34.9535|-85.2968|29290|Journalist, broadcasting|2005-04-27|533356940935|young_adults_male_urban.json
817-34-5577|4808313678377701435|Jared|Sanchez|M|8856 Bell Motorway Suite 443|Huntingdon|TN|38344|36.0062|-88.4202|8684|Community arts worker|1960-05-31|213551290143|adults_50up_male_urban.json
761-69-3034|4749894134350|Christopher|Smith|M|0084 Dana Terrace|Alexandria|VA|22315|38.7596|-77.1485|321490|Recycling officer|2002-01-21|958218317578|young_adults_male_urban.json
292-61-7844|30520471167198|Mark|Brown|M|413 Angela Mall|Albany|KY|42602|36.6857|-85.1407|10216|Trading standards officer|1985-04-24|870143739098|adults_2550_male_urban.json
795-67-6233|38496499091334|Deborah|Miller|F|81206 Norris Mountains|Stockton|CA|95206|37.9177|-121.3123|357430|Horticulturist, amenity|2001-10-14|253543257595|young_adults_female_urban.json
290-90-7439|2244936183242103|Carol|Parker|F|1746 Mason Park Suite 190|Reno|NV|89506|39.6412|-119.8735|276896|Podiatrist|1973-05-10|355342117469|adults_50up_female_urban.json
027-12-3751|4490278742967178|Hannah|Cook|F|56746 Shawn Island|Dodge City|KS|67801|37.7569|-100.0241|30559|Forensic psychologist|1952-05-30|125942501921|adults_50up_female_urban.json
414-66-0019|4603859770348243|Jeffrey|Wolfe|M|93248 Andrea Course|Atlanta|GA|30340|33.8932|-84.2539|900273|Equality and diversity officer|1958-10-06|927679680601|adults_50up_male_urban.json
473-16-2523|30484677378267|Cheryl|Greene|F|46584 Justin Hills|Fresno|CA|93722|36.7918|-119.8801|570271|Theatre manager|1957-04-21|539705335953|adults_50up_female_urban.json
458-69-7936|378867533963605|Emily|Kennedy|F|2702 Kane Well Suite 187|Doswell|VA|23047|37.8417|-77.5125|1952|Administrator, local government|1974-02-01|157721695267|adults_50up_female_rural.json
671-20-1226|30459615865781|Amanda|Jones|F|16117 Heather Burgs Apt. 504|Oakes|ND|58474|46.1095|-98.2257|2681|Mechanical engineer|2003-06-19|474056332778|young_adults_female_urban.json
