ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|ee3ad432d361535fce0e1e0d787af368|2024-09-13|02:51:55|1726210315|gas_transport|9.08|1|fraud_Robel, Cummerata and Prosacco|42.678040|-92.142007
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|f1c078f2856e6a0514008298d1365b44|2024-09-13|00:36:49|1726202209|grocery_pos|12.18|1|fraud_Rutherford-Mertz|41.543018|-92.635224
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|49ed106b7ce96e9c7419d7dca2a06e13|2024-09-13|03:18:18|1726211898|grocery_net|12.59|1|fraud_Johnston, Nikolaus and Maggio|43.158688|-93.717039
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|7b2897f1b7552373194197ba99601f0c|2024-09-13|02:17:56|1726208276|gas_transport|280.53|1|fraud_Lind, Huel and McClure|42.847994|-92.360833
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|90f9ad036df57ed3bfd8d9eb2012b0b6|2024-09-14|23:23:56|1726370636|shopping_net|813.18|1|fraud_Kozey-Boehm|42.140145|-93.791824
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|f96482613a61b849fe612a996c5f0fd9|2024-09-14|22:27:20|1726367240|misc_pos|728.92|1|fraud_Kemmer-Buckridge|43.153440|-93.253634
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|75d7ae4f545e3634ba3545c0272d2e84|2024-09-14|22:46:25|1726368385|misc_net|767.81|1|fraud_Kuphal-Predovic|42.778028|-93.575666
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|3ecde99719b973dbd987bc5606ba526d|2024-09-14|21:22:50|1726363370|shopping_pos|8.15|1|fraud_Sawayn PLC|41.685350|-93.346166
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|f56524ffb27543b6d5a5f167c61f50ce|2024-09-14|23:14:15|1726370055|misc_net|960.46|1|fraud_Bednar Group|42.606269|-92.216603
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|0df930ba5a9235bff2772cb857c285aa|2024-09-14|22:01:06|1726365666|food_dining|1216.06|1|fraud_Langosh, Wintheiser and Hyatt|42.685793|-92.820569
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|6ba1c8923344f973338e290dc6dbf8d3|2024-09-14|22:34:46|1726367686|kids_pets|110.82|1|fraud_Waelchi-Wolf|42.388342|-92.842516
312-80-7577|180029657156437|Stephanie|Delacruz|F|99034 Danielle Crossroad|Union|IA|50258|42.2521|-93.0562|1002|Hospital doctor|2002-09-29|637677661236|young_adults_female_rural.json|bcc75f0aa92c53ab06dae829bd1bffc8|2024-09-14|23:51:27|1726372287|misc_net|20.52|1|fraud_Jones, Sawayn and Romaguera|42.680498|-92.261021
