ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|b038cf65dd94e016c2a44ec91a7cef2a|2024-12-16|02:04:36|1734332676|grocery_pos|277.37|1|fraud_Kiehn Inc|39.248489|-84.039077
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|b25b2ac068dab17d52a755b32e0fcad9|2024-12-16|03:34:19|1734338059|misc_net|280.85|1|fraud_Kerluke Inc|39.956986|-85.192909
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|603152a226d806e66119e23ce8ee71ec|2024-12-16|07:39:11|1734352751|grocery_pos|291.03|1|fraud_Murray-Smitham|38.624622|-84.475737
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|61d80c1e651c9518431159ff850495e7|2024-12-16|07:23:14|1734351794|grocery_pos|282.27|1|fraud_Huel, Hammes and Witting|38.497915|-85.498399
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|71ba9ee1154b8f2cb453278876680f51|2024-12-16|00:00:56|1734325256|grocery_pos|309.86|1|fraud_Bailey-Morar|38.378837|-85.583209
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|3323e1e18b335c6a6cddc1ed7ce89d78|2024-12-16|03:15:27|1734336927|grocery_pos|306.75|1|fraud_Lockman, West and Runte|39.989342|-84.863673
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|c539e0d90abcaf7c79fe991036336245|2024-12-16|02:42:41|1734334961|grocery_pos|827.01|1|fraud_Rowe, Batz and Goodwin|40.037142|-84.709512
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|f71a5d7f1dd318f0d22f8aceee1e1366|2024-12-17|22:52:00|1734493920|shopping_net|990.38|1|fraud_Kerluke-Abshire|38.725045|-84.985203
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|8cc358c42006272a6449229363c4bd00|2024-12-17|22:59:44|1734494384|health_fitness|1046.22|1|fraud_Ziemann-Waters|39.927681|-85.282984
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|ed376aa935ae3e15248fd6312724f443|2024-12-17|23:55:41|1734497741|shopping_net|987.64|1|fraud_Gerlach Inc|39.695865|-84.542086
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|822f1623d118eaf807d2498105344a52|2024-12-17|22:52:57|1734493977|shopping_net|1035.87|1|fraud_Ruecker, Beer and Collier|39.003324|-85.178506
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|992427c7ac884d1c87b5401338c6b747|2024-12-17|22:27:34|1734492454|shopping_pos|908.25|1|fraud_Jewess LLC|39.888530|-85.450974
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|85ed65aa64664326a70eab8a883b4854|2024-12-17|23:37:18|1734496638|shopping_net|982.57|1|fraud_Little, Gutmann and Lynch|38.888478|-84.186346
858-62-1715|4246301986424238393|Joanna|Boyd|F|121 Johnson Viaduct|Harrison|OH|45030|39.2592|-84.7837|17921|Designer, graphic|2003-12-12|970420808481|young_adults_female_urban.json|e2c1605aa80f0412b774b56125d8a92e|2024-12-17|19:12:32|1734480752|shopping_net|807.30|1|fraud_Boyer-Reichert|39.017205|-84.483837
