ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|da0df1dee128511d4619e36ac8c64328|2024-04-04|00:07:18|1712203638|misc_net|12.40|1|fraud_Rodriguez, Yost and Jenkins|41.717614|-73.307348
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|abb3884bb9a092f20db40c1899053607|2024-04-03|01:21:45|1712121705|grocery_pos|11.43|1|fraud_Auer-Mosciski|41.341614|-73.379306
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|c72cf4176943440c12a6e38f1277b9ca|2024-04-03|00:28:25|1712118505|misc_net|328.93|1|fraud_Schmitt Ltd|41.084644|-74.092527
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|76d98216e67c3eadc1183354828e5e7b|2024-04-03|03:20:59|1712128859|gas_transport|839.01|1|fraud_Kling Inc|40.662105|-74.622899
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|4e297d27509ccad9b92be97b61a81bcf|2024-04-03|10:51:09|1712155869|gas_transport|854.09|1|fraud_Kling Inc|40.071369|-74.753001
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|20ddfcf45590a07221ffa83413b150a6|2024-04-04|23:02:35|1712286155|shopping_net|937.38|1|fraud_Rempel Inc|40.036664|-73.047072
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|db1695969a2b5b935c9ae2cbb947fc31|2024-04-04|23:09:45|1712286585|shopping_net|837.95|1|fraud_Goyette Inc|41.133888|-73.750881
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|47b09ea34a6f650d3b4c8c502ead16b8|2024-04-04|23:47:36|1712288856|shopping_net|1060.57|1|fraud_Schmeler, Bashirian and Price|40.392113|-74.061291
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|ee74e6ab49d4a02f5d1c4a2dd5703f90|2024-04-04|15:32:04|1712259124|shopping_net|1010.89|1|fraud_Terry-Huel|39.950173|-74.128584
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|35d76de7bf07642031f5898bf7e3e376|2024-04-04|17:15:05|1712265305|shopping_net|1060.26|1|fraud_Kihn, Abernathy and Douglas|41.027142|-74.089584
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|9d9c5ddc95145bbd11bbb0f6a88c1179|2024-02-28|04:17:44|1709111864|gas_transport|56.09|0|fraud_Rodriguez Group|41.586440|-73.830911
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|77186449264d4f01c5dee5dc1b36775d|2024-01-07|08:47:19|1704635239|gas_transport|52.68|0|fraud_Corwin-Collins|40.231332|-74.212481
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|bbd971009b70aed5bbf8cb90072c468f|2024-02-19|05:41:53|1708339313|gas_transport|92.09|0|fraud_Friesen-D'Amore|40.467683|-74.130486
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|1d477132d36bf4ab1fff02b67543a87e|2024-03-21|07:25:35|1711020335|grocery_net|75.12|0|fraud_Morar Inc|41.238471|-73.919972
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|c3f7d9918dcfb48519062749a906784b|2024-03-08|11:17:17|1709914637|gas_transport|83.04|0|fraud_Prohaska-Murray|40.927885|-73.252279
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|a03722f7822c7e3a02f7a4cfa6f6ed8e|2024-03-03|09:20:06|1709475606|gas_transport|66.16|0|fraud_Bins-Rice|40.159099|-73.180294
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|9cac92163329d58b018e80681c022f68|2024-01-14|03:00:32|1705219232|gas_transport|89.26|0|fraud_Harris Inc|41.406324|-74.682516
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|284d56db3ef3eb959f0ce64ee0ee87e1|2024-02-13|10:15:51|1707837351|gas_transport|49.66|0|fraud_Jenkins, Hauck and Friesen|41.028189|-74.518371
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|9fab56fb1e41a1b2946193dc3f3d3c75|2024-03-30|08:45:43|1711802743|grocery_pos|55.48|0|fraud_Stracke-Lemke|41.589535|-73.994427
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|9ec0756b2f5d8c7c3279791c6fb85055|2024-02-24|01:09:42|1708754982|gas_transport|94.12|0|fraud_Erdman-Kertzmann|41.609505|-74.312124
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|bd68c50a02d10ea3686dfb365307df53|2024-01-02|08:49:26|1704203366|gas_transport|69.93|0|fraud_Schmitt Inc|41.321148|-74.674506
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|d164b585c748acefe14f5d10b7351e08|2024-03-22|06:29:36|1711103376|grocery_net|71.85|0|fraud_Murray Ltd|40.454802|-74.414882
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|6090f1f5702a5f5835d53af19d0949b1|2024-01-25|10:03:51|1706195031|gas_transport|59.10|0|fraud_Cummerata-Jones|41.047375|-74.469372
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|30aa3de118587fd1a351265543f035aa|2024-03-17|00:18:21|1710649101|grocery_net|57.55|0|fraud_Ortiz Group|41.115825|-73.200858
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|74e110d83436c126d9c83bf7608d64d3|2024-01-13|07:22:05|1705148525|gas_transport|66.87|0|fraud_Greenholt, Jacobi and Gleason|40.191604|-73.149654
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|f2e6b2dbbf06902a9d0b8f186dd88044|2024-03-01|10:58:29|1709308709|gas_transport|44.77|0|fraud_Eichmann, Bogan and Rodriguez|41.776772|-74.935828
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|e15296958d6922b6f7d2d492efd3ea73|2024-03-01|00:10:38|1709269838|gas_transport|58.79|0|fraud_Zieme, Bode and Dooley|40.881588|-74.587436
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|5794e920900917726d3de5d9d95bae96|2024-04-01|09:46:46|1711979206|grocery_pos|56.76|0|fraud_Goldner, Kovacek and Abbott|41.615986|-74.945716
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|4bd9c9fbaccc7037c0226d18b6c93a5f|2024-02-16|06:01:51|1708081311|gas_transport|57.20|0|fraud_Raynor, Reinger and Hagenes|40.535431|-73.363328
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|42f8d22d2305c7e7b3d75ae947202c0b|2024-03-08|11:43:21|1709916201|gas_transport|39.85|0|fraud_Brekke and Sons|39.900160|-73.672722
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|f4b14ce251f500b8c8281a82e1e9a34c|2024-01-07|09:55:41|1704639341|gas_transport|85.89|0|fraud_Huels-Nolan|40.256215|-74.062147
599-28-4218|4212914650223470|Joel|Riggs|M|5797 Nathaniel Way|New York City|NY|10024|40.7864|-73.9764|1577385|Scientist, product/process development|2006-09-02|765755331514|young_adults_male_urban.json|6d43625da6e16bd85e6768ca5dc12f7e|2024-02-29|09:36:46|1709217406|gas_transport|67.00|0|fraud_Bartoletti-Wunsch|41.183690|-73.332987
